,latitude,longitude,temperature,humidity,cloudiness,wind
0,67,72,551.13,82,62,7068.238848
1,-3,134,568.62,93,58,5156.338176
2,-23,19,578.96,10,0,28215.019008
3,20,-74,574.8199999999999,77,0,36731.667455999996
4,-47,20,551.62,92,100,68596.678656
5,-31,79,563.22,83,88,50694.335999999996
6,-26,176,565.02,63,2,27751.527936
7,-53,147,551.8199999999999,86,100,67553.823744
8,-4,22,575.0699999999999,70,100,7242.048
9,65,-39,550.52,68,0,54286.39180799999
10,68,84,554.25,94,100,16106.314751999998
11,-90,117,497.14,64,100,22479.316992
12,-40,17,561.3199999999999,70,100,74274.444288
13,18,-180,574.02,76,64,37890.395136
14,-1,30,574.7,27,0,9096.012288
15,70,-132,551.3,93,75,33023.73888
16,-3,-170,573.42,73,0,44784.824832
17,68,-157,549.02,90,95,10138.8672
18,-24,94,564.22,76,0,54112.582656
19,2,-79,568.52,92,100,10370.612736
20,-81,-59,516.42,87,0,16859.487744000002
21,36,-12,567.92,80,0,28736.446464
22,41,104,567.05,24,50,22537.253376
23,-14,41,571.72,69,19,27809.46432
24,-43,-115,554.62,80,93,48492.753408
25,-46,-33,553.8199999999999,79,0,65583.986688
26,-83,32,499.62,76,59,35572.939776
27,-62,-173,546.02,99,100,72130.79808
28,-49,142,555.12,95,100,59906.221055999995
29,47,-35,562.3199999999999,86,57,27693.591552
30,-9,-87,562.92,81,100,37600.713216
31,42,134,564.22,76,0,35746.748928
32,17,-127,572.3199999999999,77,100,22247.571455999998
33,37,131,568.72,74,0,45306.252288
34,76,51,550.12,92,100,26476.927488
35,-55,49,543.3199999999999,93,100,69407.788032
36,-73,153,507.53,82,96,48318.944255999995
37,74,-119,543.99,95,100,37311.031296
38,-15,124,573.72,74,100,35515.003392
39,-49,137,555.42,97,100,23522.171903999995
40,-4,178,574.02,75,100,39918.168576
41,-12,-140,571.92,76,4,43336.415232
42,61,15,562.45,41,0,33023.73888
43,-25,-25,567.92,73,100,27172.164096
44,-32,-2,563.02,83,100,42119.751167999995
45,29,157,574.72,80,100,27056.291328
46,-70,-143,522.72,91,100,37311.031296
47,1,-57,579.43,41,97,11703.149567999999
48,-56,-18,543.3199999999999,95,100,61064.94873599999
49,-3,151,574.43,73,37,17496.787968
50,43,149,563.92,88,26,35978.494463999996
51,-4,-86,564.3199999999999,86,100,25144.390656
52,-66,-30,540.62,97,100,39570.550272
53,1,161,574.12,74,0,26303.118336
54,54,37,557.5799999999999,73,43,34182.46656
55,9,-83,570.19,56,15,8111.093759999999
56,9,-43,573.62,77,2,10544.421888
57,64,124,552.39,76,0,2375.3917439999996
58,9,67,574.22,80,100,41598.323712
59,-72,-61,522.13,90,100,6662.684159999999
60,-26,-141,568.02,88,100,42699.115008
61,39,-104,561.38,53,90,21146.78016
62,-59,48,537.3199999999999,95,100,46175.298048
63,-13,98,572.22,73,0,58921.302528
64,34,-141,566.8199999999999,64,100,14368.223232
65,-65,-52,533.02,94,100,16048.378368
66,-43,24,556.12,79,100,41018.959872
67,38,67,559.54,39,0,5503.95648
68,-55,49,543.3199999999999,93,100,69407.788032
69,-42,0,553.8199999999999,69,100,78098.245632
70,-5,-131,571.3199999999999,79,0,44668.952064
71,-17,-110,567.52,71,5,48492.753408
72,-55,45,543.72,93,50,55097.501184
73,-43,33,554.42,86,0,37600.713216
74,-43,65,554.52,85,100,70624.452096
75,64,163,544.15,97,100,10138.8672
76,65,88,552.66,84,100,28272.955392
77,-65,43,528.22,93,99,11934.895104
78,9,179,572.92,85,100,52026.872832
